playerFullName,PitchType,playerId,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,PitchNo,group_mean,group_std,CLASS+,Count
"Calhoun, Hudson",4S,1000211056.0,94.49534864516129,18.555681161290323,7.880901806451614,2501.086042180645,6.311663483870968,5.827587161290323,2.4085460645161287,7.880901806451614,2.4085460645161287,94.49534864516129,18.555681161290323,7.880901806451614,4.039779263797344e-15,-7.048125524071962e-16,-7.549516567451064e-16,0.0073423819228573255,206.1032258064516,0.0028173875412249,0.0073362157238225,106.16802252275461,155.0
"Calhoun, Hudson",CH,1000211056.0,88.702186,8.115138,15.401252666666666,2119.288997,6.387224,5.6493899999999995,2.622586,15.401252666666666,2.622586,94.49534864516129,18.555681161290327,7.880901806451614,-5.793162645161287,-10.440543161290323,7.520350860215053,0.02018090213538975,201.0,0.0057302139408229,0.0094398261837037,115.30821427571784,15.0
"Calhoun, Hudson",FC,1000211056.0,86.4475111111111,4.665599393939394,-5.054589595959596,2315.66297610101,5.776724848484848,5.847537171717171,2.5897249494949492,-5.054589595959596,2.5897249494949492,94.49534864516129,18.555681161290323,7.880901806451614,-8.047837534050174,-13.89008176735093,-12.935491402411209,0.013270970135838363,192.17171717171718,0.011293074699198,0.0075858975963126,102.60733210741171,99.0
"Calhoun, Hudson",SL,1000211056.0,81.96868405405405,-6.947548918918918,-14.449082702702702,2478.3740675135136,5.391742972972973,5.863807297297297,2.3684213513513512,-14.449082702702702,2.3684213513513512,94.49534864516129,18.555681161290323,7.880901806451614,-12.526664591107233,-25.503230080209242,-22.329984509154315,0.008128434328004905,216.27027027027026,0.0074131820252189996,0.0078737585740861,100.90840009387634,37.0
"Canney, Alex",4S,1000102891.0,90.3081948611111,12.833281041666666,4.639893750000001,2401.8526185208334,6.361552569444445,5.620007430555556,2.462228194444444,4.639893750000001,2.462228194444444,90.3081948611111,12.833281041666666,4.639893750000001,6.118562446823085e-15,5.188750663699516e-16,-5.273559366969494e-16,0.002472947468900362,207.8896551724138,0.0028173875412249,0.0073362157238225,99.53049353332656,145.0
"Canney, Alex",CH,1000102891.0,84.18547833333334,7.661928333333333,-1.0666266666666668,1442.0596826666667,5.875453333333333,5.682445,2.3089733333333333,-1.0666266666666668,2.3089733333333333,90.30819486111109,12.833281041666666,4.639893750000001,-6.122716527777771,-5.171352708333333,-5.706520416666667,-0.004116812833484049,215.83333333333334,0.0057302139408229,0.0094398261837037,89.56863549955374,6.0
"Canney, Alex",FC,1000102891.0,86.00107962962963,6.664213148148148,-2.1405433333333335,2246.962764675926,5.8553790654205615,5.625676111111112,2.5319825925925925,-2.1405433333333335,2.5319825925925925,90.3081948611111,12.833281041666666,4.639893750000001,-4.3071152314814745,-6.169067893518518,-6.780437083333334,0.013146407644771561,224.15740740740742,0.011293074699198,0.0075858975963126,102.44312940168662,108.0
"Canney, Alex",SI,1000102891.0,89.6127175,12.2155265,15.0618485,2274.15347755,6.356267000000001,5.559615,2.4297820000000003,15.0618485,2.4297820000000003,90.3081948611111,12.833281041666666,4.639893750000001,-0.6954773611111065,-0.6177545416666663,10.42195475,0.00154287647281908,222.8,-0.0002688599585534,0.007278823253620599,102.48905127689613,20.0
"Canney, Alex",SL,1000102891.0,78.73923424242425,-3.83281696969697,-18.40885696969697,2595.7288493333335,5.664121818181818,5.6051787878787875,2.5547845454545453,-18.40885696969697,2.5547845454545453,90.3081948611111,12.833281041666666,4.639893750000001,-11.568960618686862,-16.666098011363637,-23.048750719696972,0.008946939939210348,215.15151515151516,0.007413182025219,0.0078737585740861,101.94793617248978,33.0
"Dennis, Gunnar",4S,824610.0,90.70355631205675,14.089097163120567,-4.454091914893617,2350.0541382553192,6.167290354609929,5.843646028368795,-2.355755673758865,4.454091914893617,2.355755673758865,90.70355631205676,14.089097163120568,4.454091914893617,-9.373116939814087e-15,7.33849545355068e-16,1.6692714980179658e-16,0.0030387116020120903,155.80281690140845,0.0028173875412249,0.0073362157238225,100.30168695839795,142.0
"Dennis, Gunnar",CH,824610.0,81.24415,8.329316222222221,-6.342412444444445,1381.2672183333334,6.122995333333333,5.793974222222222,-2.3118002222222223,6.342412444444445,2.3118002222222223,90.70355631205676,14.089097163120568,4.454091914893617,-9.459406312056746,-5.759780940898344,1.8883205295508276,0.010531834714894765,149.57777777777778,0.0057302139408229,0.0094398261837037,105.08655634185409,45.0
"Dennis, Gunnar",CU,824610.0,74.68429777777777,-10.461123333333333,15.43653888888889,2213.5204454444447,5.854377777777778,5.909566666666667,-2.0651383333333335,-15.43653888888889,2.0651383333333335,90.70355631205676,14.089097163120568,4.454091914893617,-16.019258534278972,-24.5502204964539,-19.890630803782507,-0.00032371899497555547,172.22222222222223,0.0038883046970989,0.0075667092185873995,94.43348016899107,18.0
"Dennis, Gunnar",FC,824610.0,81.44786831858406,0.7996817699115044,3.5775445132743364,2178.7717374159292,5.740918584070796,5.877279292035398,-2.3412587610619466,-3.5775445132743364,2.3412587610619466,90.70355631205676,14.089097163120568,4.454091914893617,-9.255687993472677,-13.289415393209064,-8.031636428167953,0.008838948587994742,170.49557522123894,0.011293074699198,0.0075858975963126,96.76488368048072,113.0
