playerId,playerFullName,PitchType,Count,CLASS+,Vel,iVB,HB,Spin,Ext,RelH,RelS,nHB,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std
1000138960,"Rodriguez, Ryne",CU,6,98.0,80.0,-2.4,5.6,2527.2,5.8,5.0,-2.6,-5.6,2.6,89.5,12.9,12.6,-9.5,-15.3,-18.2,0.002348395915,0.003888304697,0.007566709219
10071271,"Robertson, Jon Paul",CU,8,97.7,76.0,-6.4,-11.4,2435.4,5.8,5.7,2.0,-11.4,2.0,90.4,16.5,4.3,-14.4,-22.9,-15.8,0.002156427011,0.003888304697,0.007566709219
1000138960,"Rodriguez, Ryne",SL,20,97.7,79.0,-4.3,7.3,2693.5,6.0,5.1,-2.5,-7.3,2.5,89.5,12.9,12.6,-10.5,-17.2,-20.0,0.005577091651,0.007413182025,0.007873758574
1000102891,"Canney, Alex",FC,34,97.7,81.5,5.4,-6.4,2435.1,5.7,5.4,2.6,-6.4,2.6,89.3,15.3,7.8,-7.8,-9.9,-14.3,0.009523491856,0.0112930747,0.007585897596
1000110608,"Morris, Mason",CH,13,97.7,87.4,11.6,15.1,2040.4,6.0,6.0,1.5,15.1,1.5,93.7,17.0,8.8,-6.3,-5.4,6.3,0.003517576625,0.005730213941,0.009439826184
1000119598,"Maddox, Riley",4S,25,97.3,92.9,12.2,18.1,2226.9,5.6,5.6,2.0,18.1,2.0,92.9,12.2,18.1,0.0,0.0,0.0,0.0008053847021,0.002817387541,0.007336215724
1000066425,"Elliott, Hunter",SL,37,97.0,80.8,4.9,1.0,2326.8,5.8,5.3,-2.6,-1.0,2.6,88.8,16.6,15.3,-8.0,-11.7,-16.3,0.005065320981,0.007413182025,0.007873758574
10106537,"Lopez, Kaiden",4S,75,97.0,90.3,16.3,12.5,2261.1,6.0,5.6,2.5,12.5,2.5,90.3,16.3,12.5,0.0,0.0,0.0,0.0006231552771,0.002817387541,0.007336215724
10106537,"Lopez, Kaiden",SL,31,96.6,82.0,2.7,-3.1,2343.5,5.5,5.5,2.7,-3.1,2.7,90.3,16.3,12.5,-8.3,-13.6,-15.6,0.004725106141,0.007413182025,0.007873758574
1000146120,"Johnson, Cooper",4S,10,96.5,86.5,20.0,-11.2,2247.6,6.1,6.2,-2.3,-11.2,-2.3,92.3,20.0,-3.4,-5.7,0.1,-7.8,0.0002545669129,0.002817387541,0.007336215724
10156932,"Reigert, Jake",SL,9,96.4,73.2,1.3,-16.7,2193.3,5.9,5.5,1.8,-16.7,1.8,90.5,15.1,15.2,-17.3,-13.8,-31.9,0.004601072594,0.007413182025,0.007873758574
10157164,"Dennis, Gunnar",CH,60,96.4,79.5,6.8,-7.4,1234.4,6.0,5.9,-1.6,7.4,1.6,88.6,11.8,2.3,-9.1,-5.0,5.1,0.002322989406,0.005730213941,0.009439826184
823790,"McCausland, Will",CH,13,96.3,84.7,6.2,11.9,1459.8,6.3,5.2,1.1,11.9,1.1,91.3,18.7,8.4,-6.5,-12.4,3.5,0.002254651044,0.005730213941,0.009439826184
10157164,"Dennis, Gunnar",4S,59,96.2,88.6,11.8,-2.3,2311.4,6.2,5.9,-1.7,2.3,1.7,88.6,11.8,2.3,0.0,0.0,0.0,1.84E-05,0.002817387541,0.007336215724
1000119593,"Jones, Brayden",CH,12,96.1,87.4,14.4,10.0,1534.5,5.8,6.0,1.2,10.0,1.2,93.6,17.4,11.7,-6.3,-3.0,-1.7,0.002060360966,0.005730213941,0.009439826184
10157164,"Dennis, Gunnar",SL,26,96.1,80.8,2.7,2.8,2263.7,5.6,5.9,-1.5,-2.8,1.5,88.6,11.8,2.3,-7.8,-9.1,-5.2,0.004343158494,0.007413182025,0.007873758574
10071271,"Robertson, Jon Paul",FC,20,96.0,79.7,2.8,-14.6,2367.2,5.9,5.6,2.6,-14.6,2.6,90.4,16.5,4.3,-10.8,-13.8,-18.9,0.008274721027,0.0112930747,0.007585897596
1000138960,"Rodriguez, Ryne",SI,23,96.0,89.3,7.5,-15.7,2187.4,6.5,5.2,-2.5,15.7,2.5,89.5,12.9,12.6,-0.2,-5.5,3.0,-0.003209957457,-0.0002688599586,0.007278823254
1000138960,"Rodriguez, Ryne",CH,32,95.5,84.0,10.3,-12.5,1543.1,6.4,5.2,-2.4,12.5,2.4,89.5,12.9,12.6,-5.4,-2.7,-0.1,0.001528447421,0.005730213941,0.009439826184
805783,"Nichols, Mason",FC,7,95.3,84.0,3.4,-5.7,2059.9,5.6,6.2,1.2,-5.7,1.2,92.9,16.6,7.6,-8.9,-13.3,-13.3,0.007718690004,0.0112930747,0.007585897596
702494,"Tookoian, Sam",4S,103,95.3,92.8,17.1,3.3,2334.0,6.3,6.2,2.3,3.3,2.3,92.8,17.1,3.3,0.0,0.0,0.0,-0.0006536576989,0.002817387541,0.007336215724
10156932,"Reigert, Jake",4S,122,95.0,90.5,15.1,15.2,2146.3,6.6,5.7,1.9,15.2,1.9,90.5,15.1,15.2,0.0,0.0,0.0,-0.0008645529661,0.002817387541,0.007336215724
1000072347,"Hooks, Walker",4S,88,95.0,89.2,16.1,-11.8,2170.2,6.5,6.3,-1.5,11.8,1.5,89.2,16.1,11.8,0.0,0.0,0.0,-0.0008654643015,0.002817387541,0.007336215724
1000119593,"Jones, Brayden",SL,69,94.6,84.6,1.8,-3.8,2062.3,5.1,5.8,1.7,-3.8,1.7,93.6,17.4,11.7,-9.0,-15.6,-15.5,0.003160348028,0.007413182025,0.007873758574
