PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Test,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,ErrorCheck,SECCheck,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,DitchPitchNumber
114,2024-09-28,19:30:42,5,2,"Rodriguez, Ryne",1000138960,Left,OLE_REB,"Chisolm, Connor",10027054,Left,OLE_REB,Undefined,4,Bottom,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,87.65847,-2.132664,3.351112,2122.530533,138.628138,10:30:00,5.14427,-2.20634,6.49587,-21.85359,13.85804,-11.1756,1.36116,-0.05791,80.07222,-6.276836,1.325875,0.430107,,,,,,,,,,,,6.8291,8.22721,1.97602,50,4.98489,-7.02347,-127.17586,-5.35079,11.15067,26.81657,-18.74054,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20240928-OleMiss-Private-1,0e975730-7dfa-11ef-a769-275f5e1cf003,87.63508,,,7.58625,,,,,,,d559d892-e72d-449f-9889-a45788ef5a20,2024-09-29 0:00:00,0:30:42,2024-09-28T19:30:41.5860180-05:00,2024-09-29T00:30:41.5860180Z,,v3,5322,,,"Smithwick, Campbell",805802,Right,OLE_PRA,b90a7c17-eb99-48f1-b000-09ca1c5a5fff,54.00465,-128.0175,13.40829,5.14359,-4.76262,-9.37027,2.20194,-7.37344,5.57533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
392,2024-10-05,15:35:26,2,3,"Waters, Landon",10279656,Right,OLE_REB,"Walker, Wes",10108312,Left,ALA_LIO,Undefined,10,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,0,81.15727,-0.970202,-1.344879,3080.36415,112.299855,9:45:00,5.33601,1.45138,4.9393,-36.70667,6.98433,-13.92481,1.35981,-0.98035,75.11352,-7.605856,-3.800877,0.475738,,,,,,,,,,,,6.60709,4.06579,-1.30833,50,5.21123,3.34615,-117.82399,-3.32663,9.34596,21.07679,-26.42288,OLE_REB,ALA_LIO,OleMiss,TeamExclusive,Team,20241005-OleMiss-Private-4,590989a0-8359-11ef-97a3-df6082b89b2a,79.22948,,,6.04376,,,,,,,af45c168-1609-45dd-8b48-f2d566c7b7ee,2024-10-05 0:00:00,20:35:26,2024-10-05T15:35:25.7500000-05:00,2024-10-05T20:35:25.7500000Z,,v3,5322,471594,,"Fawley, Austin",1000140327,Right,OLE_REB,ed61a738-8722-4a47-9dca-bdd1b4ce52e4,55.56333,-118.81501,10.53839,5.33844,-2.08424,-13.21144,-1.45534,2.90671,4.67298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
65,2024-10-04,14:53:16,2,5,"Calhoun, Hudson",1000211056,Right,OLE_REB,"Federico, Hayden",10095498,Left,OLE_REB,Undefined,3,Top,1,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,0,80.46354,0.427972,0.333636,2206.355931,55.681356,7:45:00,5.48056,2.02978,4.60968,-52.2655,-6.74095,-12.06745,1.53207,1.34142,73.63309,-8.935402,-1.786695,0.485617,,,,,,,,,,,,5.96437,-2.92425,-2.05241,50,5.47625,-0.14069,-116.65838,-1.19118,8.16524,23.29451,-36.17736,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241004-OleMiss-Private-3,4bce3e40-828a-11ef-a769-275f5e1cf003,77.61759,,,6.83045,,,,,,,ffaa2003-b49c-4626-a0b7-548634c24fab,2024-10-04 0:00:00,19:53:16,2024-10-04T14:53:16.3440838-05:00,2024-10-04T19:53:16.3440838Z,,v3,5322,,,"Fawley, Austin",1000140327,Right,OLE_REB,5ebcd269-dc04-481f-997a-2ed82ee400cf,55.89184,-117.829,11.64725,5.49043,0.62684,-18.08868,-2.03503,-0.55102,4.08262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
154,2024-09-28,19:53:18,3,3,"Robertson, Jon Paul",10071271,Right,OLE_REB,"Humphrey, Isaac",804253,Left,OLE_REB,Undefined,6,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,0,90.41916,-3.137717,-1.147549,2239.716979,212.738455,1:00:00,5.77197,2.51499,6.36481,-18.39639,15.30792,9.13162,1.34797,2.21978,82.64441,-6.630219,0.50694,0.417844,,,,,,,,,,,,-5.07748,9.21237,-2.43595,50,5.53603,2.25985,-131.22348,-7.71294,-8.82677,28.54794,-16.15912,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20240928-OleMiss-Private-1,3721e1e0-7dfd-11ef-a769-275f5e1cf003,90.20696,,,7.77476,,,,,,,d559d892-e72d-449f-9889-a45788ef5a20,2024-09-29 0:00:00,0:53:18,2024-09-28T19:53:18.0857300-05:00,2024-09-29T00:53:18.0857300Z,,v3,5322,,,"Reuter, Collin",801469,Right,OLE_REB,03745df9-4b01-4a8d-9332-689ed8e1f52c,54.13468,-132.11993,14.27397,5.77026,-7.20553,-8.07956,-2.51126,2.53703,-4.41338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
91,2024-10-11,15:28:30,1,6,"Dennis, Gunnar",10157164,Left,OLE_REB,"Fawley, Austin",1000140327,Right,OLE_REB,Undefined,3,Bottom,1,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,0,79.41913,-1.16779,2.512357,1200.926183,100.62601,9:15:00,5.80707,-1.6671,6.00344,-40.52731,3.52736,-11.55457,1.34657,-0.30064,73.2393,-8.631441,0.432013,0.477713,,,,,,,,,,,,6.66638,2.52488,1.47588,50,5.69277,-4.64208,-115.34707,-3.59989,8.99203,21.21656,-28.7683,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241011-OleMiss-Private-1,60e608f0-880f-11ef-9eb8-c7d0411636b0,78.90178,,,6.17984,,,,,,,0c1b26bf-763f-48ee-93f9-c54061d6fad6,2024-10-11 0:00:00,20:28:30,2024-10-11T15:28:30.1000000-05:00,2024-10-11T20:28:30.1000000Z,,v3,5322,,,"Smithwick, Campbell",805802,Right,OLE_PRA,5ab17e21-9480-43d9-9cd5-8386803ef147,54.49855,-116.17158,10.60828,5.81094,-2.48192,-14.38415,1.66306,-4.99152,4.49601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
175,2024-09-29,14:29:06,3,2,"Hancock, Owen",10123181,Right,OLE_REB,"Hill, Luke",702619,Right,OLE_REB,Undefined,6,Bottom,2,0,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,0,86.27703,-2.392547,-0.677056,2588.177402,120.497647,10:00:00,6.18969,0.8673,5.88442,-31.45482,5.24689,-7.41839,1.34519,-0.37966,81.21011,-8.130711,-2.010643,0.436028,,,,,,,,,,,,3.70477,3.45614,-0.8082,50,5.97785,1.76949,-125.57618,-6.30988,6.05848,19.67785,-26.52217,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20240929-OleMiss-Private-2,169ae240-7e99-11ef-a769-275f5e1cf003,86.445,,,5.06692,,,,,,,caca66d2-c5b2-4d39-9c4d-3a26f0b66395,2024-09-29 0:00:00,19:29:06,2024-09-29T14:29:05.6726270-05:00,2024-09-29T19:29:05.6726270Z,,v3,5322,,,"Fawley, Austin",1000140327,Right,OLE_PRA,cce755af-a1a7-4570-a970-94502f2c10ca,54.61987,-126.29805,9.83892,6.19147,-5.33694,-13.26109,-0.86903,1.54724,3.02924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
205,2024-10-11,16:35:48,3,3,"Lopez, Kaiden",10106537,Right,OLE_REB,"Federico, Hayden",10095498,Left,OLE_REB,Undefined,7,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,0,83.09562,-0.287101,-3.663456,1740.338668,273.021264,3:00:00,5.01209,3.08278,5.74197,-40.28628,0.45669,15.50682,1.38702,0.95922,76.30447,-7.675447,-0.890655,0.459407,66.20491,2.045965,-9.057517,2457.1084,,,,39.24843,39.24843,-11.276583,0.402333,-8.94221,0.67106,-2.78741,50,4.96328,7.10455,-120.54182,-1.97406,-13.16389,23.31707,-31.18615,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241011-OleMiss-Private-1,c7986260-8818-11ef-9eb8-c7d0411636b0,82.0458,1.47463,,6.79115,,,,1.64515,1.29843,-0.91948,0c1b26bf-763f-48ee-93f9-c54061d6fad6,2024-10-11 0:00:00,21:35:48,2024-10-11T16:35:48.1521958-05:00,2024-10-11T21:35:48.1521958Z,GroundBall,v3,5322,,,"Reuter, Collin",801469,Right,OLE_REB,714892bb-35f4-4ffa-a1f9-d88ca5520af2,54.76057,-121.45919,11.65854,5.01681,-0.74709,-15.59307,-3.07712,7.62246,-6.58195,83.604733,1.6486,95.71397,-10.31741,,,,,,,1.30191,3.3516,-16.39471,,,,,,,-0.91677,-15.36627,-3.5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,
191,2024-10-04,16:02:48,3,3,"Johnson, Cooper",10110143,Left,OLE_REB,"Surowiec, Ethan",1000098035,Right,OLE_REB,Undefined,6,Bottom,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,0,77.64844,-2.241398,4.931279,1702.561015,125.307122,10:15:00,6.18077,-3.35022,6.05356,-33.116,13.12879,-16.45446,1.33749,-0.14528,71.48092,-8.386827,1.980283,0.489444,,,,,,,,,,,,9.86764,7.81225,2.97487,50,5.98785,-9.12158,-112.41309,-5.3526,12.66065,19.8631,-22.15055,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241004-OleMiss-Private-3,020d6e20-8294-11ef-a769-275f5e1cf003,77.01077,,,6.16752,,,,,,,ffaa2003-b49c-4626-a0b7-548634c24fab,2024-10-04 0:00:00,21:02:48,2024-10-04T16:02:47.5950000-05:00,2024-10-04T21:02:47.5950000Z,,v3,5322,,,"Reuter, Collin",801469,Right,OLE_PRA,3b58e0ee-1694-47b9-959d-67f13d1065cc,54.44838,-113.19638,9.93155,6.18171,-4.47911,-11.07528,3.34442,-9.62084,6.33033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.51273,1.763042,0.830669,0.932373,1.95531,1.41662,0.16404,-2.30784,6.29354,-2.74107,64.7371,1.34083,-60.04296,-2.25813,78.06037,-6.66701,6.31492,6.32761,-12.51313,-2.8001,-68.17318,7.28314,High,High,High,,,High,High,High,
45,2024-10-12,14:26:27,3,5,"Morris, Mason",1000110608,Right,OLE_REB,"Randle, Brayden",1000115334,Left,OLE_REB,Undefined,2,Top,1,3,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,0,85.27432,-1.300475,-1.388434,2647.458229,13.572982,6:30:00,6.15616,1.64184,5.18515,-43.18329,-3.49792,-1.15756,1.33345,0.23882,78.13949,-9.109242,-1.593971,0.453405,,,,,,,,,,,,0.16697,-0.97972,-1.51191,50,6.0024,3.04808,-123.66893,-4.46602,0.25694,26.12003,-33.6817,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241012-OleMiss-Private-2,e0557740-88cf-11ef-b396-cff24b165299,83.13191,,,7.13483,,,,,,,d8227ef7-9cdf-4983-8308-957416eb4637,2024-10-12 0:00:00,19:26:27,2024-10-12T14:26:26.9368622-05:00,2024-10-12T19:26:26.9368622Z,,v3,5322,,,"Reuter, Collin",801469,Right,OLE_REB,c27b9bd9-24d8-4531-b90a-2fe58067cff0,55.31562,-124.78659,13.06001,6.16266,-3.0248,-16.84085,-1.6421,3.03709,0.12847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
209,2024-10-12,16:02:15,6,2,"Hancock, Owen",10123181,Right,OLE_REB,"Miller, Jackson",1000107070,Right,OLE_REB,Undefined,7,Top,2,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,0,93.67333,-3.760145,-2.207042,2131.582998,186.01159,12:15:00,6.13843,0.75193,6.29198,-16.02521,15.74406,1.54122,1.33036,-1.15449,85.06154,-6.817831,-1.928541,0.405672,,,,,,,,,,,,-1.47665,9.6643,-0.59014,50,5.8533,5.16392,-135.68159,-9.3776,-2.72588,32.39132,-14.3341,OLE_REB,OLE_PRA,OleMiss,TeamExclusive,Team,20241012-OleMiss-Private-2,428ea7d0-88dd-11ef-b396-cff24b165299,92.91362,,,8.61179,,,,,,,d8227ef7-9cdf-4983-8308-957416eb4637,2024-10-12 0:00:00,21:02:15,2024-10-12T16:02:15.2545582-05:00,2024-10-12T21:02:15.2545582Z,,v3,5322,,,"Reuter, Collin",801469,Right,OLE_REB,75fc4118-db03-4a1a-b536-e4b572aa4615,54.20669,-136.68216,16.19566,6.13614,-8.93482,-7.16705,-0.75096,5.24813,-1.36294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
