playerFullName,PitchType,playerId,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std,CLASS+,Count
"Calhoun, Hudson",4S,1000211056.0,92.62130894117647,16.544837411764703,11.360116705882353,2497.6883882941174,5.793676823529412,5.813042470588235,1.8307162352941178,11.360116705882353,1.8307162352941178,92.62130894117648,16.544837411764703,11.360116705882351,4.179663151530001e-15,2.4555521015238756e-15,-9.926699984883753e-17,0.003674973117889794,0.0028173875412249,0.0073362157238225,101.16897540768879,86.0
"Calhoun, Hudson",CH,1000211056.0,85.07991322580646,7.444942258064516,13.388251935483872,1580.107979483871,5.981821612903226,5.719268709677419,1.832562258064516,13.388251935483872,1.832562258064516,92.62130894117648,16.544837411764703,11.360116705882351,-7.5413957153700135,-9.099895153700187,2.028135229601518,0.01112497182632782,0.0057302139408229,0.0094398261837037,105.71489112248493,31.0
"Calhoun, Hudson",CU,1000211056.0,79.31766,-8.13272,-16.4015,2357.270898,4.46207,5.94748,1.53914,-16.4015,1.53914,92.62130894117648,16.544837411764703,11.360116705882351,-13.303648941176462,-24.677557411764703,-27.761616705882357,0.0077867500052053,0.0038883046970989,0.0075667092185874,105.15210138976914,1.0
"Calhoun, Hudson",FC,1000211056.0,84.62631260869566,2.4306221739130436,-2.474436086956522,2412.5005280434784,5.103042173913043,5.806047391304348,1.786419565217391,-2.474436086956522,1.786419565217391,92.62130894117648,16.544837411764703,11.360116705882351,-7.994996332480813,-14.114215237851658,-13.834552792838874,0.01049182250411066,0.011293074699198002,0.0075858975963126,98.9437608603142,23.0
"Calhoun, Hudson",SI,1000211056.0,92.18235666666668,11.192603333333333,16.103333333333335,2503.0268278333333,5.73759,5.7149,2.265375,16.103333333333335,2.265375,92.62130894117648,16.544837411764703,11.360116705882353,-0.4389522745097973,-5.35223407843137,4.74321662745098,-0.00048263151480181676,-0.0002688599585534,0.0072788232536206,99.70631028011015,6.0
"Calhoun, Hudson",SL,1000211056.0,79.65749411764706,-5.386767647058823,-13.681219019607843,2320.320181529412,4.757203137254902,5.696021568627451,2.0928249019607845,-13.681219019607843,2.0928249019607845,92.62130894117647,16.544837411764703,11.360116705882351,-12.963814823529406,-21.931605058823525,-25.0413357254902,0.007779627566092446,0.007413182025219,0.0078737585740861,100.46540103741499,51.0
"Canney, Alex",4S,1000102891.0,89.28578034482759,15.318030689655172,7.81209,2299.1916343678163,6.434808965517242,5.413315287356322,2.0718494252873563,7.81209,2.0718494252873563,89.28578034482759,15.318030689655172,7.81209,4.798205255851251e-16,5.104473676437501e-17,-3.471042099977501e-16,0.004074835651631405,0.0028173875412249,0.0073362157238225,101.7140282643587,87.0
"Canney, Alex",CH,1000102891.0,82.829075,8.70633,7.197090714285714,1598.5935118214286,6.004252857142857,5.468850000000001,1.6848764285714286,7.197090714285714,1.6848764285714286,89.28578034482759,15.318030689655172,7.81209,-6.456705344827584,-6.611700689655172,-0.6149992857142862,0.00024737783317457134,0.005730213940822899,0.0094398261837037,94.19180395809238,28.0
"Canney, Alex",FC,1000102891.0,81.52523121212121,5.423278787878788,-6.447770606060606,2435.0543215757575,5.69543303030303,5.423215757575758,2.5979078787878787,-6.447770606060606,2.5979078787878787,89.28578034482759,15.318030689655172,7.81209,-7.760549132706373,-9.894751901776385,-14.259860606060606,0.009523491855963719,0.011293074699198,0.0075858975963126,97.66727296174616,34.0
"Canney, Alex",SI,1000102891.0,88.33161,12.232850000000001,17.29382,2195.5952252,6.210922,5.458048,1.277064,17.29382,1.277064,89.28578034482759,15.31803068965517,7.81209,-0.9541703448275853,-3.0851806896551723,9.481729999999999,-0.0089795981080056,-0.0002688599585534,0.007278823253620599,88.03276594864516,5.0
"Canney, Alex",SL,1000102891.0,77.95549958333334,2.3616104166666667,-14.996062708333334,2470.3703927916667,5.5834125000000006,5.373292083333333,1.9169927083333336,-14.996062708333334,1.9169927083333336,89.28578034482759,15.318030689655172,7.81209,-11.330280761494253,-12.956420272988504,-22.808152708333335,0.009566228834096878,0.007413182025219,0.0078737585740861,102.73445875768145,48.0
"Dennis, Gunnar",4S,10157164.0,88.62800440677967,11.83714627118644,-2.312098983050847,2311.3678294067795,6.198817288135593,5.903757288135593,-1.6842503389830508,2.312098983050847,1.6842503389830508,88.62800440677967,11.83714627118644,2.312098983050847,-5.3064897109202394e-15,1.3774292441112112e-15,2.86023558886481e-16,1.8394036385202028e-05,0.0028173875412248997,0.0073362157238225,96.18469029509214,59.0
"Dennis, Gunnar",CH,10157164.0,79.50470483333334,6.845868833333333,-7.407844166666666,1234.3950698833332,5.987809666666666,5.8771241666666665,-1.6214336666666667,7.407844166666666,1.6214336666666667,88.62800440677967,11.83714627118644,2.312098983050847,-9.123299573446333,-4.991277437853106,5.095745183615819,0.0023229894062961913,0.0057302139408229,0.0094398261837037,96.39058551691477,60.0
"Dennis, Gunnar",CU,10157164.0,71.88507625,-12.064475,13.502851249999999,2109.483095,5.94659625,5.98955375,-1.39537875,-13.502851249999999,1.39537875,88.62800440677967,11.83714627118644,2.312098983050847,-16.742928156779666,-23.90162127118644,-15.814950233050848,0.005140648301693963,0.0038883046970989,0.0075667092185874,101.65507034619313,8.0
